242|Maraã|24
243|Massauari|24
244|Maués|24
245|Mocambo|24
246|Moura|24
247|Murutinga|24
248|Nhamundá|24
249|Nova Olinda do Norte|24
250|Novo Airão|24
251|Novo Aripuanã|24
252|Osorio da Fonseca|24
253|Parintins|24
254|Pauini|24
255|Pedras|24
256|Presidente Figueiredo|24
257|Repartimento|24
258|Rio Preto da Eva|24
259|Santa Isabel do Rio Negro|24
260|Santa Rita|24
261|Santo Antonio do Ica|24
262|São Felipe|24
263|São Gabriel da Cachoeira|24
264|São Paulo de Olivença|24
265|São Sebastião do Uatumã|24
266|Silves|24
267|Tabatinga|24
268|Tapauá|24
269|Tefe|24
270|Tonantins|24
271|Uarini|24
272|Urucará|24
273|Urucurituba|24
274|Vila Pitinga|24
275|Abacate da Pedreira|23
276|Água Branca do Amapari|23
277|Amapá|23
278|Amapari|23
279|Ambé|23
280|Aporema|23
281|Ariri|23
282|Bailique|23
283|Boca do Jari|23
284|Calcoene|23
285|Cantanzal|23
286|Carmo|23
287|Clevelândia do Norte|23
288|Corre Água|23
289|Cunani|23
290|Curiau|23
291|Cutias|23
292|Fazendinha|23
293|Ferreira Gomes|23
294|Fortaleza|23
295|Gaivota|23
296|Gurupora|23
297|Igarapé do Lago|23
298|Ilha de Santana|23
299|Inajá|23
300|Itaubal|23
301|Laranjal do Jari|23
302|Livramento do Pacuí|23
303|Lourenço|23
304|Macapá|23
305|Mazagão|23
306|Mazagão Velho|23
307|Oiapoque|23
308|Paredão|23
309|Porto Grande|23
310|Pracuúba|23
311|Santa Luzia do Pacuí|23
312|Santa Maria|23
313|Santana|23
314|São Joaquim do Pacuí|23
315|São Sebastião do Livramento|23
316|São Tome|23
317|Serra do Navio|23
318|Sucuriju|23
319|Tartarugalzinho|23
320|Vila Velha|23
321|Vitória do Jari|23
322|Abadia|25
323|Abaíra|25
324|Abaré|25
325|Abelhas|25
326|Abobora|25
327|Abrantes|25
328|Acajutiba|25
329|açu da Torre|25
330|Acudina|25
331|Acupe|25
332|Adustina|25
333|Afligidos|25
334|Afrânio Peixoto|25
335|Água Doce|25
336|Água Fria|25
337|Águas do Paulista|25
338|Aiquara|25
339|AlaGoiásnhas|25
340|Alcobaça|25
341|Alegre|25
342|Algodão|25
343|Algodoes|25
344|Almadina|25
345|Alto Bonito|25
346|Amado Bahia|25
347|Amaniú|25
348|Amargosa|25
349|Amelia Rodrigues|25
350|America Dourada|25
351|Américo Alves|25
352|Anagé|25
353|Andaraí|25
354|Andorinha|25
355|Angical|25
356|Angico|25
357|Anguera|25
358|Antas|25
359|Antonio Cardoso|25
360|Antonio Gonçalves|25
361|Aporá|25
362|Apuarema|25
363|Aracas|25
364|Aracatu|25
365|Araci|25
366|Aramari|25
367|Arapiranga|25
368|Arataca|25
369|Aratuípe|25
370|Areias|25
371|Arembepe|25
372|ArGoiásm|25
373|Argolo|25
374|Aribice|25
375|Aritagua|25
376|Aurelino Leal|25
377|Baiánópolis|25
378|Baixa do Palmeira|25
379|Baixa Grande|25
380|Baixão|25
381|Baixinha|25
382|Baluarte|25
383|Banco Central|25
384|Banco da Vitória|25
385|Bandeira do Almada|25
386|Bandeira do Colonia|25
387|Bândiacu|25
388|Banzaê|25
389|Baraúnas|25
390|Barcelos do Sul|25
391|Barra|25
392|Barra da Estiva|25
393|Barra do Choca|25
394|Barra do Jacuípe|25
395|Barra do Mendes|25
396|Barra do Pojuca|25
397|Barra do Rocha|25
398|Barra do Tarrachil|25
399|Barracas|25
400|Barreiras|25
401|Barro Alto|25
402|Barro Preto|25
403|Barro Vermelho|25
404|Barrocas|25
405|Bastião|25
406|Bate Pe|25
407|Batinga|25
408|Bela Flor|25
409|Belem da Cachoeira|25
410|Belmonte|25
411|Belo Campo|25
412|Bem-bom|25
413|Bendegó|25
414|Bento Simões|25
415|Biritinga|25
416|Boa Espera|25
417|Boa Nova|25
418|Boa União|25
419|Boa Vista do Lagamar|25
420|Boa Vista do Tupim|25
421|Boacu|25
422|Boca do Córrego|25
423|Bom Jesus da Lapa|25
424|Bom Jesus da Serra|25
425|Bom Sossego|25
426|Bonfim da Feira|25
427|Boninal|25
428|Bonito|25
429|Boquira|25
430|Botuporã|25
431|Botuquara|25
432|Brejinho das Ametistas|25
433|Brejo da Serra|25
434|Brejo Luiza de Brito|25
435|Brejo Novo|25
436|Brejões|25
437|Brejolândia|25
438|Brotas de Macaúbas|25
439|Brumado|25
440|Bucuituba|25
441|Buerarema|25
442|Buracica|25
443|Buranhém|25
444|Buril|25
445|Buris de Abrantes|25
446|Buritirama|25
447|Caatiba|25
448|Cabaceiras do Paraguaçu|25
449|Cabrália|25
450|Cacha Pregos|25
451|Cachoeira|25
452|Cachoeira do Mato|25
453|Caculé|25
454|Caem|25
455|Caetanos|25
456|Caeté-açu|25
457|Caetité|25
458|Cafarnaum|25
459|Caiçara|25
460|Caimbé|25
461|Cairu|25
462|Caiubi|25
463|Cajuí|25
464|Caldas do Jorro|25
465|Caldeirão|25
466|Caldeirão Grande|25
467|Caldeiras|25
468|Camacan|25
469|Camaçari|25
470|Camamu|25
471|Camassandi|25
472|Camirim|25
473|Campinhos|25
474|Campo Alegre de Lourdes|25
475|Campo Formoso|25
476|Camurugi|25
477|Canabravinha|25
478|Canápolis|25
479|Canarana|25
480|Canatiba|25
481|Canavieiras|25
482|Canche|25
483|Candeal|25
484|Candeias|25
485|Candiba|25
486|Cândido Sales|25
487|Canoão|25
488|Cansanção|25
489|Canto do Sol|25
490|Canudos|25
491|Capão|25
492|Capela do Alto Alegre|25
493|Capim Grosso|25
494|Caraguataí|25
495|Caraíbas|25
496|Caraibuna|25
497|Caraipe|25
498|Caraiva|25
499|Caravelas|25
500|Cardeal da Silva|25
501|Carinhanha|25
502|Caripare|25
503|Carnaíba do Sertão|25
504|Carrapichel|25
505|Casa Nova|25
506|Castelo Novo|25
507|Castro Alves|25
508|Catinga do Moura|25
509|Catingal|25
510|Catolândia|25
511|Catoles|25
512|Catolezinho|25
513|Catu|25
514|Catu de Abrantes|25
515|Caturama|25
516|Cavunge|25
517|Central|25
518|Ceraima|25
519|Chorrochó|25
520|Cicero Dantas|25
521|Cinco Rios|25
522|Cipo|25
523|Coaraci|25
524|Cocos|25
525|Colonia|25
526|Comercio|25
527|Conceição da Feira|25
528|Conceição do Almeida|25
529|Conceição do Coite|25
530|Conceição do Jacuípe|25
531|Conde|25
532|Condeúba|25
533|Contendas do Sincorá|25
534|Copixaba|25
535|Coqueiros|25
536|Coquinhos|25
537|Coração de Maria|25
538|Cordeiros|25
539|Coribe|25
540|Coronel João Sa|25
541|Correntina|25
542|Corta Mão|25
543|Cotegipe|25
544|Coutos|25
545|Cravolândia|25
546|Crisópolis|25
547|Cristalândia|25
548|Cristópolis|25
549|Crussai|25
550|Cruz das Almas|25
551|Cumuruxatiba|25
552|Cunhangi|25
553|Curaca|25
554|Curral Falso|25
555|Dario Meira|25
556|Delfino|25
557|Descoberto|25
558|Dias Coelho|25
559|Dias D Avila|25
560|Diogenes Sampaio|25
561|Dom Basilio|25
562|Dom Macedo Costa|25
563|Dona Maria|25
564|Duas Barras do Morro|25
565|Elisio Medrado|25
566|Encruzilhada|25
567|Engenheiro Franca|25
568|Engenheiro Pontes|25
569|Entre Rios|25
570|Érico Cardoso|25
571|Esplanada|25
572|Euclides da Cunha|25
573|Eunápolis|25
574|Fatima|25
575|Feira da Mata|25
576|Feira de Santana|25
577|Ferradas|25
578|Filadelfia|25
579|Filanesia|25
580|Firmino Alves|25
581|Floresta Azul|25
582|Formosa do Rio Preto|25
583|Franca|25
584|Gabiarra|25
585|Galeão|25
586|Gamboa|25
587|Gameleira da Lapa|25
588|Gameleira do Assuruá|25
589|Gandu|25
590|Gavião|25
591|Gentio do Ouro|25
592|Geolândia|25
593|Gloria|25
594|Gongogi|25
595|Governador João Durval Carneiro|25
596|Governador Mangabeira|25
597|Guajirus|25
598|Guai|25
599|Guajeru|25
600|Guanambi|25
601|Guapira|25
602|Guarajuba|25
603|Guaratinga|25
604|Guerém|25
605|Guine|25
606|Guirapa|25
607|Gurupá Mirim|25
608|Heliopolis|25
609|Helvécia|25
610|Hidrolândia|25
611|Humildes|25
612|Iacu|25
613|Ibatui|25
614|Ibiacu|25
615|Ibiajara|25
616|Ibiapora|25
617|Ibiassucê|25
618|Ibicaraí|25
619|Ibicoara|25
